symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-01-30,259.0,259.0,256.0,256.0,53226.0,13679435.0,-1.54,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-01-31,259.0,260.0,253.0,258.0,57691.0,14843925.0,0.78,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-02-03,258.0,258.0,251.0,253.0,99156.0,25089666.0,-1.94,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-02-04,251.0,252.0,245.0,246.0,95240.0,23533288.0,-2.77,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-02-05,246.0,248.0,240.0,243.0,104687.0,25502668.0,-1.22,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-02-06,241.0,242.0,237.0,238.0,67848.0,16240286.0,-2.06,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-02-07,236.0,238.0,233.0,238.0,59830.0,14111779.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-02-10,237.0,238.0,229.0,231.0,59960.0,13938900.0,-2.94,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-02-11,231.0,237.0,227.0,232.0,61013.0,14065694.0,0.43,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-02-12,232.0,232.0,230.0,231.0,38083.0,8790743.0,-0.43,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-02-13,230.0,232.0,229.0,230.0,41724.0,9613300.0,-0.43,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-02-14,227.0,228.0,224.0,228.0,69628.0,15711303.0,-0.87,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-02-17,225.0,231.0,225.0,226.0,45386.0,10294478.0,-0.88,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-02-18,223.0,225.0,220.0,221.0,51862.0,11492149.0,-2.21,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-02-19,223.0,232.0,219.0,232.0,57539.0,12793830.0,4.98,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-02-20,231.0,233.0,223.0,224.0,41490.0,9350595.0,-3.45,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-02-21,222.0,228.0,222.0,225.0,32296.0,7227554.0,0.45,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-02-24,224.0,226.0,220.0,222.0,46222.0,10237995.0,-1.33,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-02-25,220.0,226.0,220.0,224.0,35508.0,7886542.0,0.9,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-02-26,225.0,225.0,221.0,223.0,34122.0,7597841.0,-0.45,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-02-27,224.0,228.0,223.0,224.0,26480.0,5959027.0,0.45,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-03-03,224.0,225.0,222.0,222.0,40964.0,9164105.0,-0.89,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-03-05,222.0,225.0,221.0,224.0,34553.0,7707213.0,0.9,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-03-06,223.0,226.0,222.0,226.0,25338.0,5677765.0,0.89,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-03-07,228.0,231.0,225.0,230.0,47328.0,10764538.0,1.77,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-03-10,230.0,234.0,226.0,230.0,43195.0,9855344.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-03-11,232.0,238.0,228.0,235.0,73683.0,17159956.0,2.17,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-03-12,235.0,246.0,234.0,245.0,96193.0,23076152.0,4.26,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-03-13,244.0,248.0,237.0,239.0,71758.0,17375578.0,-2.45,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-03-14,240.0,241.0,235.0,240.0,57279.0,13663320.0,0.42,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-03-17,240.0,246.0,240.0,245.0,59409.0,14506943.0,2.08,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-03-18,245.0,248.0,242.0,242.0,36699.0,8996703.0,-1.22,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-03-19,242.0,245.0,241.0,242.0,19638.0,4771501.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-03-21,242.0,245.0,238.0,240.0,38970.0,9365431.0,-0.83,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-03-24,240.0,242.0,235.0,239.0,41392.0,9872309.0,-0.42,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-03-25,238.0,241.0,236.0,240.0,35260.0,8436025.0,0.42,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-03-26,237.0,241.0,237.0,241.0,31029.0,7417514.0,0.42,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-03-27,237.0,241.0,236.0,240.0,27337.0,6529071.0,-0.41,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-03-28,239.0,241.0,238.0,240.0,24176.0,5779898.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-03-31,240.0,241.0,237.0,239.0,38545.0,9214296.0,-0.42,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-04-01,239.0,239.0,236.0,238.0,35591.0,8455362.0,-0.42,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-04-02,237.0,240.0,237.0,237.0,30721.0,7314227.0,-0.42,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-04-03,238.0,240.0,235.0,235.0,41796.0,9900650.0,-0.84,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-04-04,236.0,238.0,235.0,237.0,45323.0,10707286.0,0.85,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-04-07,236.0,237.0,234.0,235.0,43463.0,10225687.0,-0.84,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-04-08,235.0,237.0,232.0,235.0,43356.0,10163898.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-04-09,233.0,236.0,232.0,233.0,19124.0,4479488.0,-0.85,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-04-10,231.0,235.0,231.0,232.0,40755.0,9458750.0,-0.43,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-04-11,232.0,233.0,230.0,232.0,53054.0,12281389.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-04-15,233.0,233.0,226.0,230.0,31609.0,7254128.0,-0.86,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-04-16,230.0,234.0,228.0,230.0,31491.0,7241007.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-04-17,230.0,232.0,228.0,229.0,36025.0,8288070.0,-0.43,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-04-18,231.0,231.0,227.0,229.0,23918.0,5472668.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-04-21,229.0,229.0,225.0,228.0,29902.0,6782209.0,-0.44,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-04-22,230.0,235.0,228.0,230.0,39434.0,9090459.0,0.88,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-04-23,234.0,234.0,229.0,230.0,19172.0,4419340.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-04-24,228.0,232.0,227.0,228.0,34195.0,7847943.0,-0.87,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-04-25,228.0,231.0,227.0,227.0,59996.0,13672853.0,-0.44,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-04-28,228.0,244.0,228.0,237.0,89256.0,20937532.0,4.41,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-04-29,239.0,240.0,231.0,238.0,35542.0,8343034.0,0.42,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-04-30,239.0,249.0,233.0,244.0,156692.0,37911488.0,2.52,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-05-02,247.0,247.0,237.0,242.0,58023.0,13973411.0,-0.82,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-05-05,239.0,241.0,234.0,236.0,33682.0,7943227.0,-2.48,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-05-06,235.0,236.0,231.0,236.0,34550.0,8049714.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-05-07,238.0,238.0,233.0,238.0,40464.0,9543747.0,0.85,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-05-08,240.0,240.0,232.0,234.0,26687.0,6253896.0,-1.68,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-05-09,233.0,240.0,232.0,234.0,22988.0,5384246.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-05-12,234.0,236.0,231.0,233.0,45907.0,10673400.0,-0.43,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-05-13,232.0,244.0,231.0,244.0,91650.0,21908252.0,4.72,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-05-14,247.0,254.0,244.0,249.0,127228.0,31611910.0,2.05,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-05-15,248.0,254.0,246.0,246.0,59616.0,14870412.0,-1.2,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-05-16,245.0,249.0,244.0,246.0,49168.0,12084736.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-05-19,246.0,247.0,243.0,245.0,32329.0,7924793.0,-0.41,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-05-20,246.0,256.0,243.0,253.0,118603.0,29606504.0,3.27,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-05-21,253.0,278.0,250.0,278.0,186015.0,49697524.0,9.88,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-05-22,291.0,305.0,291.0,305.0,165900.0,50521584.0,9.71,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-05-23,320.0,326.0,275.0,287.0,531272.0,156357744.0,-5.9,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-05-26,290.0,291.0,274.0,275.0,133698.0,37436216.0,-4.18,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-05-27,274.0,284.0,268.0,276.0,71364.0,19645804.0,0.36,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-05-28,273.0,285.0,273.0,280.0,110919.0,30820132.0,1.45,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-05-29,284.0,300.0,280.0,294.0,279590.0,81567024.0,5.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-05-30,308.0,323.0,291.0,293.0,303851.0,92295144.0,-0.34,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-06-02,294.0,296.0,286.0,286.0,118970.0,34437352.0,-2.39,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-06-03,286.0,287.0,276.0,279.0,110084.0,30827110.0,-2.45,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-06-04,280.0,283.0,275.0,276.0,69941.0,19406160.0,-1.08,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-06-06,289.0,289.0,271.0,275.0,47805.0,13161033.0,-0.36,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-06-10,262.0,275.0,262.0,269.0,33131.0,8955009.0,-2.18,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-06-11,268.0,272.0,268.0,269.0,37850.0,10207845.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-06-12,274.0,274.0,265.0,267.0,31579.0,8412278.0,-0.74,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-06-13,266.0,266.0,261.0,263.0,51498.0,13548735.0,-1.5,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-06-16,263.0,272.0,258.0,259.0,47830.0,12491154.0,-1.52,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-06-17,258.0,268.0,256.0,267.0,47123.0,12376727.0,3.09,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-06-18,267.0,272.0,262.0,267.0,32900.0,8752325.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-06-19,264.0,269.0,263.0,266.0,26257.0,6971437.0,-0.37,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-06-20,261.0,272.0,261.0,269.0,35254.0,9492233.0,1.13,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-06-23,269.0,270.0,264.0,265.0,32079.0,8523122.0,-1.49,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-06-24,265.0,268.0,264.0,268.0,27503.0,7323357.0,1.13,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-06-25,266.0,270.0,265.0,268.0,27463.0,7353205.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-06-26,267.0,270.0,264.0,265.0,30997.0,8258421.0,-1.12,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-06-27,270.0,270.0,266.0,267.0,33763.0,9060494.0,0.75,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-06-30,272.0,275.0,264.0,264.0,30280.0,8057805.0,-1.12,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-07-01,264.0,267.0,263.0,265.0,20100.0,5317517.0,0.38,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-07-02,265.0,266.0,263.0,266.0,27581.0,7286673.0,0.38,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-07-03,271.0,271.0,264.0,270.0,41945.0,11278516.0,1.5,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-07-04,270.0,270.0,267.0,268.0,20959.0,5626768.0,-0.74,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-07-07,265.0,268.0,265.0,266.0,25900.0,6911827.0,-0.75,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-07-08,275.0,275.0,263.0,265.0,27996.0,7431015.0,-0.38,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-07-09,265.0,267.0,264.0,265.0,18532.0,4921032.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-07-10,265.0,270.0,264.0,267.0,29600.0,7914939.0,0.75,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-07-11,267.0,269.0,267.0,267.0,27009.0,7235970.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-07-14,265.0,271.0,265.0,270.0,36145.0,9744560.0,1.12,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-07-15,275.0,277.0,270.0,276.0,57744.0,15860418.0,2.22,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-07-16,275.0,276.0,272.0,275.0,22893.0,6278861.0,-0.36,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-07-17,275.0,286.0,271.0,286.0,76056.0,21395514.0,4.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-07-18,286.0,289.0,282.0,283.0,40637.0,11583937.0,-1.05,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
UPPER,Upper Tamakoshi Hydropower Limited,Hydropower,2019-07-21,283.0,283.0,276.0,279.0,42178.0,11788270.0,-1.41,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UPPER
