date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2026-03-15,690.0,690.0,0.0,-350.0,0.0,0.3539,0.1744,3.0,33.0,-100.0,-350.0,-350.0,-350.0,0.0,1.0
2026-03-16,780.0,780.0,0.0,-470.0,0.0,0.88,0.462,2.0,36.0,-200.0,-820.0,-820.0,-820.0,0.0,1.0
2026-03-17,810.0,800.0,0.006,-410.0,0.0,0.9756,0.479,2.0,38.0,-180.0,-1230.0,-1230.0,-1230.0,0.002,1.0
2026-03-19,1820.0,1600.0,0.0632,-920.0,0.0,0.9463,0.5086,3.0,37.0,-250.0,-2150.0,-2150.0,-2150.0,0.017300000000000003,1.0
2026-03-22,3670.0,3300.0,0.0528,-2530.0,0.0,0.3306,0.2211,4.0,36.0,-400.0,-4680.0,-4680.0,-4680.0,0.0244,1.0
2026-03-23,8950.0,7510.0,0.0765,3390.0,1.0,0.9955,0.4745,2.0,38.0,8930.0,-940.0,-1290.0,-1290.0,0.03308333333333333,1.0
2026-03-24,8620.0,6130.0,0.1492,-3880.0,0.0,0.8665,0.4793,2.0,38.0,-300.0,-4350.0,-5170.0,-5170.0,0.049671428571428575,1.0
2026-03-25,21830.0,15360.0,0.1692,-11080.0,0.0,0.9667,0.561,2.0,38.0,-3150.0,-15020.0,-16250.0,-16250.0,0.0646125,1.0
2026-03-26,60268.0,48499.0,0.0288,6489.0,1.0,0.0772,0.02,20.0,20.0,4738.0,-7611.0,-9761.0,-9761.0,0.06063333333333333,1.0
2026-03-29,160494.0,178919.0,-0.0178,-64015.0,0.0,0.0849,0.029,20.0,20.0,-63278.0,-69096.0,-73776.0,-73776.0,0.052790000000000004,1.0
2026-03-30,107121.0,128765.0,-0.035,-61304.0,0.0,0.0638,0.0179,20.0,20.0,-74039.0,-133790.0,-135080.0,-135080.0,0.04480909090909091,1.0
2026-03-31,86588.0,85023.0,0.0036,-31749.0,0.0,0.1403,0.0614,20.0,20.0,-43330.0,-161659.0,-166829.0,-166829.0,0.041375,1.0
2026-04-01,47081.0,45567.0,0.0067,440.0,1.0,0.0812,0.0315,20.0,20.0,-8158.0,-150139.0,-166389.0,-166389.0,0.038707692307692304,1.0
2026-04-02,49510.0,44086.0,0.027,-8047.0,0.0,0.0967,0.0464,20.0,20.0,-12129.0,-164675.0,-174436.0,-174436.0,0.03787142857142857,1.0
2026-04-05,69924.0,62151.0,0.0243,-32262.0,0.0,0.1368,0.0601,20.0,20.0,-19715.0,-132922.0,-206698.0,-206698.0,0.03696666666666667,1.0
2026-04-06,41678.0,40184.0,0.0071,-6709.0,0.0,0.071,0.0252,20.0,20.0,-11493.0,-78327.0,-213407.0,-213407.0,0.0351,1.0
2026-04-07,36787.0,31125.0,0.0423,-15782.0,0.0,0.1182,0.0662,20.0,20.0,-6104.0,-62360.0,-229189.0,-229189.0,0.035523529411764704,1.0
2026-04-08,125593.0,99098.0,0.0679,-56141.0,0.0,0.1103,0.0779,20.0,20.0,-17757.0,-118941.0,-285330.0,-285330.0,0.03732222222222222,1.0
2026-04-09,216756.0,163295.0,0.0874,-115988.0,0.0,0.2274,0.1551,20.0,20.0,-16471.0,-226882.0,-401318.0,-401318.0,0.0399578947368421,1.0
