date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2026-03-29,70.0,70.0,0.0,0.0,0.0,0.4286,0.25,3.0,6.0,40.0,0.0,0.0,0.0,0.0,0.0
2026-03-30,60.0,60.0,0.0,-40.0,0.0,0.3333,0.2143,4.0,5.0,-10.0,-40.0,-40.0,-40.0,0.0,1.0
2026-03-31,90.0,90.0,0.0,-40.0,0.0,0.3827,0.2778,4.0,6.0,-30.0,-80.0,-80.0,-80.0,0.0,1.0
2026-04-01,110.0,110.0,0.0,-90.0,0.0,0.5537,0.3636,4.0,6.0,-60.0,-170.0,-170.0,-170.0,0.0,1.0
2026-04-02,150.0,150.0,0.0,-80.0,0.0,0.6533,0.4,4.0,11.0,-30.0,-250.0,-250.0,-250.0,0.0,1.0
2026-04-05,250.0,250.0,0.0,-120.0,0.0,0.9232,0.48,2.0,18.0,-30.0,-370.0,-370.0,-370.0,0.0,1.0
2026-04-06,310.0,310.0,0.0,-130.0,0.0,0.8189,0.4516,4.0,25.0,-50.0,-460.0,-500.0,-500.0,0.0,1.0
2026-04-07,360.0,360.0,0.0,-180.0,0.0,0.7978,0.4444,3.0,19.0,-80.0,-600.0,-680.0,-680.0,0.0,1.0
2026-04-08,360.0,360.0,0.0,-190.0,0.0,0.7948,0.4444,4.0,22.0,-30.0,-700.0,-870.0,-870.0,0.0,1.0
2026-04-09,670.0,670.0,0.0,-440.0,0.0,0.8588,0.4627,4.0,29.0,-170.0,-1060.0,-1310.0,-1310.0,0.0,1.0
2026-04-10,760.0,750.0,0.0065,-390.0,0.0,0.5332,0.3268,3.0,37.0,-130.0,-1330.0,-1700.0,-1700.0,0.0005909090909090908,1.0
2026-04-13,1040.0,980.0,0.0294,-540.0,0.0,0.7049,0.4216,5.0,35.0,-130.0,-1740.0,-2240.0,-2240.0,0.0029916666666666668,1.0
2026-04-15,1080.0,970.0,0.0537,-590.0,0.0,0.9107,0.5024,3.0,37.0,-160.0,-2150.0,-2830.0,-2830.0,0.006892307692307692,1.0
2026-04-16,1260.0,1100.0,0.0672,-680.0,0.0,0.9843,0.5252,2.0,37.0,-110.0,-2640.0,-3510.0,-3510.0,0.0112,1.0
2026-04-17,2060.0,1710.0,0.0923,-1070.0,0.0,0.9434,0.5277,2.0,37.0,-310.0,-3270.0,-4580.0,-4580.0,0.016606666666666665,1.0
2026-04-20,7010.0,5210.0,0.144,-3690.0,0.0,0.9972,0.56,2.0,38.0,-860.0,-6570.0,-8270.0,-8270.0,0.02456875,1.0
2026-04-21,7110.0,5230.0,0.1483,-3290.0,0.0,0.6761,0.4487,3.0,37.0,-900.0,-9320.0,-11560.0,-11560.0,0.03184705882352941,1.0
2026-04-22,6260.0,5010.0,0.0692,550.0,1.0,0.2897,0.1749,18.0,21.0,-970.0,-8180.0,-11010.0,-11010.0,0.033922222222222215,1.0
2026-04-23,31281.0,37416.0,-0.0382,-5860.0,0.0,0.0602,0.0219,20.0,20.0,-6225.0,-13360.0,-16870.0,-16870.0,0.030126315789473685,1.0
2026-04-24,14655.0,15714.0,-0.0161,-7003.0,0.0,0.0719,0.0323,20.0,20.0,-5774.0,-19293.0,-23873.0,-23873.0,0.027815,1.0
2026-04-27,9910.0,7780.0,0.0646,2270.0,1.0,0.3973,0.1837,20.0,20.0,-162.0,-13333.0,-21603.0,-21603.0,0.031045,1.0
2026-04-28,16895.0,17635.0,-0.0119,-9192.0,0.0,0.084,0.0497,20.0,20.0,-5053.0,-19235.0,-30755.0,-30795.0,0.030449999999999998,1.0
2026-04-29,13411.0,12533.0,0.016,-4026.0,0.0,0.1826,0.0965,20.0,20.0,-3203.0,-23811.0,-34741.0,-34821.0,0.03125,1.0
2026-04-30,7256.0,6500.0,0.0329,980.0,1.0,0.0865,0.0526,20.0,20.0,-430.0,-16971.0,-33671.0,-33841.0,0.032894999999999994,1.0
2026-05-04,7208.0,7011.0,0.0077,-722.0,0.0,0.1079,0.0692,20.0,20.0,-932.0,-10690.0,-34313.0,-34563.0,0.03328,1.0
2026-05-05,11296.0,11494.0,-0.0047,-6365.0,0.0,0.1147,0.0754,20.0,20.0,-1392.0,-19325.0,-40558.0,-40928.0,0.033045,1.0
2026-05-06,6630.0,7024.0,-0.0177,-1290.0,0.0,0.081,0.0448,20.0,20.0,-461.0,-11423.0,-41718.0,-42218.0,0.03216,1.0
2026-05-07,9927.0,9792.0,0.0054,-4815.0,0.0,0.0904,0.0618,20.0,20.0,295.0,-12212.0,-46353.0,-47033.0,0.03243,1.0
2026-05-08,8430.0,7841.0,0.0275,-4152.0,0.0,0.0904,0.0663,20.0,20.0,-719.0,-17344.0,-50315.0,-51185.0,0.033804999999999995,1.0
2026-05-11,7039.0,6865.0,0.0065,-535.0,0.0,0.0978,0.0526,20.0,20.0,454.0,-17157.0,-50410.0,-51720.0,0.03413,1.0
2026-05-12,8178.0,8885.0,-0.0263,-2329.0,0.0,0.1131,0.061,20.0,20.0,-55.0,-13121.0,-52349.0,-54049.0,0.032490000000000005,1.0
2026-05-13,7878.0,7490.0,0.0205,1125.0,1.0,0.1228,0.0949,20.0,20.0,-953.0,-10706.0,-50684.0,-52924.0,0.032045,1.0
2026-05-14,4026.0,3842.0,0.0141,1308.0,1.0,0.1732,0.1097,20.0,20.0,0.0,-4583.0,-48786.0,-51616.0,0.030064999999999998,1.0
2026-05-15,4310.0,4140.0,0.0101,506.0,1.0,0.1553,0.0822,20.0,20.0,-182.0,75.0,-47600.0,-51110.0,0.02721,0.0
2026-05-18,3542.0,3272.0,0.033,-1307.0,0.0,0.1472,0.1355,19.0,20.0,-360.0,-697.0,-47837.0,-52417.0,0.024245,1.0
2026-05-19,2265.0,2300.0,-0.0058,-25.0,0.0,0.0563,0.0284,20.0,20.0,-490.0,1607.0,-44172.0,-52442.0,0.016755,0.0
2026-05-20,6622.0,6582.0,0.0022,-3742.0,0.0,0.1831,0.1426,20.0,20.0,-462.0,-3260.0,-44624.0,-56184.0,0.00945,1.0
2026-05-21,5094.0,5148.0,-0.0036,-1289.0,0.0,0.0806,0.0512,20.0,20.0,250.0,-5857.0,-46463.0,-57473.0,0.00581,1.0
2026-05-22,3648.0,3408.0,0.0259,-1011.0,0.0,0.0762,0.0625,20.0,20.0,-240.0,-7374.0,-41614.0,-58484.0,0.009014999999999999,1.0
2026-05-25,11034.0,12078.0,-0.0319,3279.0,1.0,0.0642,0.0432,20.0,20.0,-687.0,-2788.0,-31332.0,-55205.0,0.008225,1.0
2026-05-26,4858.0,4878.0,-0.0016,271.0,1.0,0.1173,0.0977,20.0,20.0,734.0,-2492.0,-33331.0,-54934.0,0.004915,1.0
2026-05-27,9477.0,9546.0,-0.003,1383.0,1.0,0.1891,0.1259,20.0,20.0,-1287.0,2633.0,-22756.0,-53551.0,0.005359999999999999,0.0
2026-06-01,7327.0,7212.0,0.0056,-113.0,0.0,0.1761,0.1172,20.0,20.0,-66.0,3809.0,-18843.0,-53664.0,0.0048400000000000006,0.0
2026-06-02,2780.0,2590.0,0.0218,-784.0,0.0,0.1209,0.0657,19.0,21.0,-41.0,4036.0,-20607.0,-54448.0,0.004285000000000001,0.0
