date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2026-03-22,50.0,50.0,0.0,-30.0,0.0,0.28,0.125,4.0,4.0,0.0,-30.0,-30.0,-30.0,0.0,1.0
2026-03-23,160.0,160.0,0.0,-120.0,0.0,0.5859,0.375,4.0,11.0,-40.0,-150.0,-150.0,-150.0,0.0,1.0
2026-03-24,120.0,120.0,0.0,-90.0,0.0,0.4167,0.2917,4.0,10.0,-20.0,-240.0,-240.0,-240.0,0.0,1.0
2026-03-25,80.0,80.0,0.0,-60.0,0.0,0.4688,0.25,3.0,6.0,0.0,-300.0,-300.0,-300.0,0.0,1.0
2026-03-26,168.0,168.0,0.0,-98.0,0.0,0.5323,0.303,5.0,11.0,-49.0,-398.0,-398.0,-398.0,0.0,1.0
2026-03-29,290.0,290.0,0.0,-120.0,0.0,0.8074,0.4333,4.0,19.0,-30.0,-488.0,-518.0,-518.0,0.0,1.0
2026-03-30,260.0,260.0,0.0,-150.0,0.0,0.855,0.4286,3.0,17.0,-10.0,-518.0,-668.0,-668.0,0.0,1.0
2026-03-31,440.0,440.0,0.0,-190.0,0.0,0.689,0.383,4.0,31.0,-70.0,-618.0,-858.0,-858.0,0.0,1.0
2026-04-01,660.0,660.0,0.0,-330.0,0.0,0.9702,0.4924,2.0,36.0,-130.0,-888.0,-1188.0,-1188.0,0.0,1.0
2026-04-02,1810.0,1520.0,0.0855,-980.0,0.0,0.5913,0.3953,3.0,37.0,-240.0,-1770.0,-2168.0,-2168.0,0.00855,1.0
2026-04-05,3660.0,2860.0,0.1216,-1960.0,0.0,0.4074,0.304,5.0,35.0,-490.0,-3610.0,-4128.0,-4128.0,0.018827272727272727,1.0
2026-04-06,4370.0,3420.0,0.116,-2420.0,0.0,0.7928,0.4713,3.0,36.0,-820.0,-5880.0,-6548.0,-6548.0,0.026925,1.0
2026-04-07,5380.0,4440.0,0.0703,1000.0,1.0,0.3147,0.1697,11.0,27.0,2270.0,-4690.0,-5548.0,-5548.0,0.030261538461538465,1.0
2026-04-08,42332.0,40390.0,0.0113,-10615.0,0.0,0.0838,0.0478,20.0,20.0,-14875.0,-14975.0,-16163.0,-16163.0,0.028907142857142857,1.0
2026-04-09,14538.0,11160.0,0.066,1985.0,1.0,0.2309,0.1232,20.0,20.0,-935.0,-12010.0,-14178.0,-14178.0,0.03138,1.0
2026-04-10,11544.0,11549.0,-0.0001,-3872.0,0.0,0.09,0.0532,20.0,20.0,612.0,-13922.0,-18050.0,-18050.0,0.0294125,1.0
2026-04-13,30690.0,31242.0,-0.0039,13811.0,1.0,0.06,0.0225,20.0,20.0,1687.0,2309.0,-4239.0,-4239.0,0.02745294117647059,0.0
2026-04-15,13569.0,13466.0,0.0014,-1754.0,0.0,0.0602,0.0165,20.0,20.0,-4098.0,-445.0,-5993.0,-5993.0,0.026005555555555556,1.0
2026-04-16,20714.0,22524.0,-0.0196,-13735.0,0.0,0.0712,0.0317,20.0,20.0,2924.0,-3565.0,-19728.0,-19728.0,0.023605263157894737,1.0
2026-04-17,22080.0,20818.0,0.0128,-3865.0,0.0,0.1012,0.0518,20.0,20.0,-4359.0,-9415.0,-23593.0,-23593.0,0.023065000000000002,1.0
2026-04-20,15563.0,16663.0,-0.0162,-3756.0,0.0,0.0721,0.0359,20.0,20.0,-1484.0,-9299.0,-27319.0,-27349.0,0.022255000000000004,1.0
2026-04-21,19440.0,18037.0,0.0191,-6641.0,0.0,0.0858,0.0433,20.0,20.0,-264.0,-29751.0,-33840.0,-33990.0,0.02321,1.0
2026-04-22,12437.0,13083.0,-0.0133,-4103.0,0.0,0.0914,0.0405,20.0,20.0,-2105.0,-32100.0,-37853.0,-38093.0,0.022545000000000003,1.0
2026-04-23,15537.0,15671.0,-0.0029,-6435.0,0.0,0.0947,0.0704,20.0,20.0,-6050.0,-24800.0,-44228.0,-44528.0,0.0224,1.0
2026-04-24,8832.0,8444.0,0.0102,2077.0,1.0,0.1177,0.052,20.0,20.0,806.0,-18858.0,-42053.0,-42451.0,0.022910000000000003,1.0
2026-04-27,9345.0,9075.0,0.008,-685.0,0.0,0.0886,0.056,20.0,20.0,-1453.0,-15787.0,-42618.0,-43136.0,0.02331,1.0
2026-04-28,15759.0,16254.0,-0.0077,-1290.0,0.0,0.0883,0.0454,20.0,20.0,-2888.0,-10436.0,-43758.0,-44426.0,0.022925,1.0
2026-04-29,15736.0,14429.0,0.0185,-1296.0,0.0,0.0952,0.0446,20.0,20.0,829.0,-7629.0,-44864.0,-45722.0,0.023850000000000003,1.0
2026-04-30,6060.0,5775.0,0.0149,-1712.0,0.0,0.1245,0.0779,20.0,20.0,-2033.0,-2906.0,-46246.0,-47434.0,0.024595,1.0
2026-05-04,6306.0,6171.0,0.0071,-2819.0,0.0,0.1019,0.0781,20.0,20.0,-182.0,-7802.0,-48085.0,-50253.0,0.020675,1.0
2026-05-05,9241.0,7839.0,0.0505,1969.0,1.0,0.2036,0.1242,18.0,22.0,3449.0,-5148.0,-44156.0,-48284.0,0.017120000000000003,1.0
2026-05-06,5665.0,5314.0,0.0226,544.0,1.0,0.1497,0.1043,20.0,20.0,-605.0,-3314.0,-41192.0,-47740.0,0.012450000000000001,1.0
2026-05-07,7307.0,6917.0,0.0192,-1293.0,0.0,0.1453,0.1019,17.0,22.0,2075.0,-3311.0,-43485.0,-49033.0,0.009895000000000001,1.0
2026-05-08,9833.0,9905.0,-0.0022,441.0,1.0,0.0928,0.0619,20.0,20.0,881.0,-1158.0,-32429.0,-48592.0,0.00922,1.0
2026-05-11,9022.0,8952.0,0.0025,-2285.0,0.0,0.0828,0.0451,20.0,20.0,-680.0,-624.0,-36699.0,-50877.0,0.006045,1.0
2026-05-12,10203.0,10335.0,-0.0049,-53.0,0.0,0.095,0.0787,20.0,20.0,-613.0,-2646.0,-32880.0,-50930.0,0.005805,1.0
2026-05-13,9468.0,9620.0,-0.0058,3466.0,1.0,0.1406,0.1035,20.0,20.0,-1046.0,276.0,-43225.0,-47464.0,0.00571,0.0
2026-05-14,7427.0,7467.0,-0.0017,824.0,1.0,0.0816,0.0425,20.0,20.0,-338.0,2393.0,-40647.0,-46640.0,0.005555,0.0
2026-05-15,10813.0,10643.0,0.0063,-4678.0,0.0,0.123,0.0935,20.0,20.0,-367.0,-2726.0,-31590.0,-51318.0,0.006849999999999999,1.0
2026-05-18,4127.0,3807.0,0.0332,-301.0,0.0,0.186,0.1297,13.0,27.0,-810.0,-742.0,-28026.0,-51619.0,0.007869999999999999,1.0
2026-05-19,5943.0,5634.0,0.0166,-17.0,0.0,0.1536,0.1071,19.0,20.0,-708.0,-706.0,-24287.0,-51636.0,0.00951,1.0
2026-05-20,6536.0,6326.0,0.0114,212.0,1.0,0.1311,0.1021,20.0,20.0,-860.0,-3960.0,-17434.0,-51424.0,0.009125,1.0
2026-05-21,3435.0,3315.0,0.0092,-233.0,0.0,0.1391,0.0717,19.0,20.0,-15.0,-5017.0,-13564.0,-51657.0,0.010249999999999999,1.0
2026-05-22,15193.0,14768.0,0.0092,-2540.0,0.0,0.1436,0.1035,20.0,20.0,-652.0,-2879.0,-9669.0,-54197.0,0.010855,1.0
2026-05-25,8157.0,8664.0,-0.017,2677.0,1.0,0.0727,0.0396,20.0,20.0,-494.0,99.0,-9069.0,-51520.0,0.009495,0.0
2026-05-26,6060.0,5960.0,0.0059,2355.0,1.0,0.1664,0.1278,20.0,20.0,2165.0,2471.0,-6029.0,-49165.0,0.009389999999999999,0.0
