date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2026-03-26,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-29,160.0,160.0,0.0,-50.0,0.0,0.6016,0.3158,3.0,14.0,10.0,-50.0,-50.0,-50.0,0.0,1.0
2026-03-30,140.0,140.0,0.0,-70.0,0.0,0.5408,0.3333,4.0,11.0,-30.0,-120.0,-120.0,-120.0,0.0,1.0
2026-03-31,160.0,160.0,0.0,-80.0,0.0,0.6719,0.3824,4.0,13.0,-20.0,-200.0,-200.0,-200.0,0.0,1.0
2026-04-01,150.0,150.0,0.0,-80.0,0.0,0.4756,0.3333,5.0,10.0,-50.0,-280.0,-280.0,-280.0,0.0,1.0
2026-04-02,270.0,270.0,0.0,-170.0,0.0,0.6735,0.4074,5.0,16.0,-40.0,-450.0,-450.0,-450.0,0.0,1.0
2026-04-05,440.0,440.0,0.0,-260.0,0.0,0.9122,0.4773,3.0,23.0,-80.0,-660.0,-710.0,-710.0,0.0,1.0
2026-04-06,420.0,420.0,0.0,-200.0,0.0,0.9082,0.4651,3.0,26.0,-80.0,-790.0,-910.0,-910.0,0.0,1.0
2026-04-07,500.0,500.0,0.0,-270.0,0.0,0.9608,0.4804,2.0,27.0,-80.0,-980.0,-1180.0,-1180.0,0.0,1.0
2026-04-08,820.0,820.0,0.0,-530.0,0.0,0.9524,0.4819,2.0,30.0,-210.0,-1430.0,-1710.0,-1710.0,0.0,1.0
2026-04-09,1180.0,1120.0,0.0256,-690.0,0.0,0.9667,0.4957,2.0,37.0,-180.0,-1950.0,-2400.0,-2400.0,0.0023272727272727273,1.0
2026-04-10,1130.0,1050.0,0.032,520.0,1.0,0.9312,0.436,3.0,37.0,1090.0,-1170.0,-1880.0,-1880.0,0.0048,1.0
2026-04-13,1690.0,1410.0,0.0769,900.0,1.0,0.9536,0.4533,3.0,36.0,1650.0,-70.0,-980.0,-980.0,0.010346153846153847,1.0
2026-04-15,2150.0,1760.0,0.0846,1060.0,1.0,0.9907,0.4642,2.0,36.0,2140.0,1260.0,80.0,80.0,0.01565,0.0
2026-04-16,3630.0,2870.0,0.1162,-1770.0,0.0,0.9945,0.5535,2.0,37.0,-460.0,20.0,-1690.0,-1690.0,0.022353333333333333,0.0
2026-04-17,10580.0,7480.0,0.1453,3110.0,1.0,0.6492,0.3927,3.0,37.0,8380.0,3820.0,1420.0,1420.0,0.0300375,0.0
2026-04-20,44275.0,44645.0,-0.0017,-25400.0,0.0,0.2007,0.0876,20.0,20.0,-9319.0,-22100.0,-23980.0,-23980.0,0.028170588235294117,1.0
2026-04-21,29057.0,27677.0,0.0128,-12466.0,0.0,0.1137,0.0645,20.0,20.0,-14430.0,-35466.0,-36446.0,-36446.0,0.02731666666666667,1.0
2026-04-22,34780.0,31460.0,0.0284,-21210.0,0.0,0.2215,0.1304,20.0,20.0,-8570.0,-57736.0,-57656.0,-57656.0,0.027373684210526317,1.0
2026-04-23,38172.0,32255.0,0.0411,-20043.0,0.0,0.2387,0.1219,20.0,20.0,-11480.0,-76009.0,-77699.0,-77699.0,0.02806,1.0
2026-04-24,25038.0,23873.0,0.0144,-9748.0,0.0,0.0782,0.0422,20.0,20.0,-5430.0,-88867.0,-87447.0,-87447.0,0.02878,1.0
2026-04-27,20447.0,20292.0,0.002,-14679.0,0.0,0.0828,0.0449,20.0,20.0,-3380.0,-78146.0,-102076.0,-102126.0,0.02888,1.0
2026-04-28,28048.0,27187.0,0.0094,-18903.0,0.0,0.0868,0.0631,20.0,20.0,-4463.0,-84583.0,-120909.0,-121029.0,0.029349999999999998,1.0
2026-04-29,27883.0,26770.0,0.0123,8167.0,1.0,0.3226,0.1703,20.0,20.0,-3455.0,-55206.0,-112662.0,-112862.0,0.029965,1.0
2026-04-30,16031.0,14038.0,0.0326,-1156.0,0.0,0.1215,0.0697,20.0,20.0,-3745.0,-36319.0,-113738.0,-114018.0,0.031595,1.0
2026-05-04,19039.0,18370.0,0.0103,-2636.0,0.0,0.1166,0.068,20.0,20.0,-1300.0,-29207.0,-116204.0,-116654.0,0.03211,1.0
2026-05-05,30935.0,30934.0,0.0,-9308.0,0.0,0.1593,0.1294,20.0,20.0,-2185.0,-23836.0,-125252.0,-125962.0,0.03211,1.0
2026-05-06,18031.0,17516.0,0.0098,1047.0,1.0,0.1616,0.1148,20.0,20.0,0.0,-3886.0,-124005.0,-124915.0,0.032600000000000004,1.0
2026-05-07,13583.0,13075.0,0.0134,-1296.0,0.0,0.1207,0.0783,20.0,20.0,-286.0,-13349.0,-125031.0,-126211.0,0.03327,1.0
2026-05-08,20797.0,21129.0,-0.0053,4508.0,1.0,0.0793,0.0505,20.0,20.0,-141.0,-7685.0,-119993.0,-121703.0,0.033005,1.0
2026-05-11,10107.0,9260.0,0.0263,-2646.0,0.0,0.114,0.0809,20.0,20.0,-173.0,-7695.0,-121949.0,-124349.0,0.03304,1.0
2026-05-12,9612.0,11899.0,-0.0613,-1890.0,0.0,0.068,0.0318,20.0,20.0,-260.0,-277.0,-124359.0,-126239.0,0.028375,1.0
2026-05-13,13116.0,14127.0,-0.0224,6.0,1.0,0.122,0.0813,20.0,20.0,-1342.0,-1318.0,-125253.0,-126233.0,0.02341,1.0
2026-05-14,13024.0,15239.0,-0.0583,1403.0,1.0,0.0802,0.0695,20.0,20.0,1071.0,1381.0,-124910.0,-124830.0,0.016265,0.0
2026-05-15,8259.0,8746.0,-0.0176,-87.0,0.0,0.1194,0.0725,20.0,20.0,-301.0,-3214.0,-123227.0,-124917.0,0.009575,1.0
2026-05-18,6306.0,5696.0,0.0269,2266.0,1.0,0.1026,0.0522,20.0,20.0,384.0,1698.0,-124071.0,-122651.0,0.003655,0.0
2026-05-19,8201.0,8045.0,0.0073,-2812.0,0.0,0.1023,0.0937,20.0,20.0,-852.0,776.0,-101483.0,-125463.0,0.004104999999999999,0.0
2026-05-20,5998.0,5945.0,0.0026,944.0,1.0,0.0816,0.0481,20.0,20.0,203.0,1714.0,-88073.0,-124519.0,0.0035949999999999997,0.0
2026-05-21,10858.0,11760.0,-0.0266,-6300.0,0.0,0.0847,0.0596,20.0,20.0,-4243.0,-5989.0,-73163.0,-130819.0,0.0008449999999999997,1.0
2026-05-22,8616.0,8413.0,0.009,-1335.0,0.0,0.1063,0.087,20.0,20.0,-1748.0,-7237.0,-54455.0,-132154.0,-0.0007600000000000002,1.0
2026-05-25,14311.0,13782.0,0.0107,3159.0,1.0,0.1015,0.0664,20.0,20.0,219.0,-6344.0,-41548.0,-128995.0,-0.000945,1.0
2026-05-26,13214.0,12315.0,0.0216,999.0,1.0,0.2256,0.1374,20.0,20.0,-363.0,-2533.0,-25870.0,-127996.0,3.499999999999996e-05,1.0
2026-05-27,7697.0,7348.0,0.0159,1024.0,1.0,0.1041,0.0716,20.0,20.0,-825.0,-2453.0,-5943.0,-126972.0,0.00035999999999999997,1.0
2026-06-01,10308.0,11070.0,-0.0232,4628.0,1.0,0.0868,0.063,20.0,20.0,431.0,8475.0,-9482.0,-122344.0,-0.001415,0.0
2026-06-02,11865.0,12724.0,-0.0248,-691.0,0.0,0.1481,0.1069,20.0,20.0,-1352.0,9119.0,-9017.0,-123035.0,-0.004285,0.0
2026-06-03,12074.0,13858.0,-0.053,-5029.0,0.0,0.133,0.1075,20.0,20.0,211.0,931.0,-11410.0,-128064.0,-0.00745,0.0
2026-06-04,10326.0,11522.0,-0.0442,4044.0,1.0,0.0768,0.0525,20.0,20.0,1105.0,3976.0,1942.0,-124020.0,-0.009659999999999998,0.0
2026-06-05,14649.0,16178.0,-0.0322,2694.0,1.0,0.0804,0.0501,20.0,20.0,1541.0,5646.0,3589.0,-121326.0,-0.01176,0.0
2026-06-08,9049.0,8963.0,0.0031,3206.0,1.0,0.1056,0.0648,20.0,20.0,-745.0,4224.0,8091.0,-118120.0,-0.012275,0.0
2026-06-09,7662.0,7834.0,-0.0059,379.0,1.0,0.0692,0.0331,20.0,20.0,-1532.0,5294.0,3962.0,-117741.0,-0.012305,0.0
2026-06-10,6021.0,5020.0,0.0503,623.0,1.0,0.0958,0.06,18.0,22.0,642.0,10946.0,7231.0,-117118.0,-0.011105,0.0
2026-06-11,5764.0,5825.0,-0.0033,1818.0,1.0,0.1175,0.0799,20.0,20.0,1488.0,8720.0,10939.0,-115300.0,-0.008205,0.0
2026-06-12,4120.0,4095.0,0.002,-895.0,0.0,0.1175,0.0766,20.0,20.0,777.0,5131.0,10038.0,-116195.0,-0.006985,0.0
