date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2026-02-16,40.0,40.0,0.0,-30.0,0.0,0.625,0.1154,2.0,4.0,-10.0,-30.0,-30.0,-30.0,0.0,1.0
2026-02-17,50.0,50.0,0.0,-10.0,0.0,0.44,0.25,3.0,3.0,0.0,-40.0,-40.0,-40.0,0.0,1.0
2026-02-22,60.0,60.0,0.0,-60.0,0.0,0.2778,0.1667,4.0,2.0,0.0,-100.0,-100.0,-100.0,0.0,1.0
2026-02-23,60.0,60.0,0.0,-60.0,0.0,0.5,0.3333,3.0,2.0,0.0,-160.0,-160.0,-160.0,0.0,1.0
2026-02-24,60.0,60.0,0.0,-10.0,0.0,0.2222,0.1667,5.0,2.0,0.0,-170.0,-170.0,-170.0,0.0,1.0
2026-02-25,60.0,60.0,0.0,-60.0,0.0,0.3333,0.25,4.0,2.0,0.0,-200.0,-230.0,-230.0,0.0,1.0
2026-02-26,60.0,60.0,0.0,-60.0,0.0,0.2222,0.1667,5.0,2.0,0.0,-250.0,-290.0,-290.0,0.0,1.0
2026-03-01,110.0,110.0,0.0,-60.0,0.0,0.157,0.1364,8.0,3.0,0.0,-250.0,-350.0,-350.0,0.0,1.0
2026-03-03,60.0,60.0,0.0,-60.0,0.0,0.2778,0.1667,4.0,2.0,0.0,-250.0,-410.0,-410.0,0.0,1.0
2026-03-09,10.0,10.0,0.0,-10.0,0.0,1.0,0.5,1.0,1.0,0.0,-250.0,-420.0,-420.0,0.0,1.0
2026-03-10,80.0,80.0,0.0,-80.0,0.0,0.625,0.375,2.0,3.0,0.0,-270.0,-500.0,-500.0,0.0,1.0
2026-03-11,60.0,60.0,0.0,-60.0,0.0,0.2222,0.1667,5.0,2.0,-50.0,-270.0,-560.0,-560.0,0.0,1.0
2026-03-12,160.0,160.0,0.0,-50.0,0.0,0.3125,0.2188,5.0,5.0,-40.0,-260.0,-610.0,-610.0,0.0,1.0
2026-03-15,80.0,80.0,0.0,-70.0,0.0,0.4375,0.3125,4.0,4.0,-10.0,-270.0,-680.0,-680.0,0.0,1.0
2026-03-16,170.0,170.0,0.0,-90.0,0.0,0.2318,0.1765,6.0,4.0,0.0,-350.0,-770.0,-770.0,0.0,1.0
2026-03-17,250.0,250.0,0.0,-140.0,0.0,0.2576,0.16,4.0,6.0,-50.0,-410.0,-910.0,-910.0,0.0,1.0
2026-03-19,770.0,770.0,0.0,-460.0,0.0,0.4903,0.3312,4.0,13.0,-150.0,-810.0,-1370.0,-1370.0,0.0,1.0
2026-03-22,365.0,365.0,0.0,-230.0,0.0,0.4558,0.3133,5.0,7.0,-50.0,-990.0,-1600.0,-1600.0,0.0,1.0
2026-03-23,430.0,430.0,0.0,-160.0,0.0,0.523,0.3021,4.0,11.0,-50.0,-1080.0,-1760.0,-1760.0,0.0,1.0
2026-03-24,498.0,498.0,0.0,63.0,1.0,0.4851,0.3066,4.0,11.0,333.0,-927.0,-1697.0,-1697.0,0.0,1.0
2026-03-25,1020.0,1020.0,0.0,-510.0,0.0,0.4279,0.2696,4.0,18.0,-80.0,-1297.0,-2177.0,-2207.0,0.0,1.0
2026-03-26,2790.0,2790.0,0.0,77.0,1.0,0.4861,0.2274,4.0,33.0,1532.0,-760.0,-2090.0,-2130.0,0.0,1.0
2026-03-29,2205.0,2205.0,0.0,-1535.0,0.0,0.6085,0.3697,4.0,26.0,-445.0,-2065.0,-3565.0,-3665.0,0.0,1.0
2026-03-30,2287.0,2287.0,0.0,-1457.0,0.0,0.9071,0.4739,4.0,29.0,-323.0,-3362.0,-4962.0,-5122.0,0.0,1.0
2026-03-31,2107.0,2107.0,0.0,-1055.0,0.0,0.9172,0.4786,4.0,33.0,-285.0,-4480.0,-6007.0,-6177.0,0.0,1.0
2026-04-01,4150.0,3830.0,0.0323,2175.0,1.0,0.9549,0.4088,5.0,34.0,4055.0,-1795.0,-3772.0,-4002.0,0.0016150000000000001,1.0
2026-04-02,15368.0,12025.0,0.1165,-7767.0,0.0,0.4677,0.3573,12.0,28.0,-2007.0,-9639.0,-11479.0,-11769.0,0.00744,1.0
2026-04-05,13916.0,10148.0,0.1206,-2899.0,0.0,0.5334,0.3199,10.0,30.0,-1315.0,-11003.0,-14318.0,-14668.0,0.01347,1.0
2026-04-06,132594.0,135130.0,-0.0053,-85906.0,0.0,0.0876,0.0486,20.0,20.0,-40806.0,-95452.0,-100164.0,-100574.0,0.013205,1.0
